1, "Hello everyone! This is Leila from Bite Size Japanese 😊"
2, "How are you?"
3, "This podcast feels like talking with a friend"
4, "It's a podcast where you can study natural Japanese"
5, "I always talk about various topics"
6, "This time, I'll talk about \"Japanese customs that I can't understand or dislike\""
7, "Of course, there are a lot of great things about Japan, right?"
8, "You all love Japan too, don't you?"
9, "That's why I think you're studying Japanese"
10, "But still, Japan does have particularly old customs and traditions"
11, "Such things don't fit with the current times."
12, "Customs that make you think, \"Isn't that a bit outdated?\""
13, "Also, there are various ways of thinking, right?"
14, "Can you think of some too?"
15, "For me, there are quite a few things like \"Why don't we stop doing that?\" or \"I don't like that.\""
16, "There are quite a few things like that for me."
17, "This time, I've written them down in my notes."
18, "I would like to introduce them to you one by one."
19, "I feel like there aren't many people talking about this"
20, "On other podcasts, don't you think?"
21, "I hope there will be some stories that are new to you as well."
22, "So, first of all,"
23, "I'm going to talk about Japanese customs at work that I can't understand."
24, "Let's start the discussion with that."
25, "Number one, and I really dislike this,"
26, "When people working at Japanese companies get sick,"
27, "For example, when they catch a cold or the flu,"
28, "Of course, they can't go to work, so they take a day off, right?"
29, "The way they take time off in such cases is"
30, "It's considered normal to use paid leave."
31, "\"Paid leave\" means that the company gives you around 20 days a year"
32, "where you can take a break while still receiving your salary, right?"
33, "It's called \"paid leave.\""
34, "When you catch a cold or the flu, you have to use this paid leave"
35, "to take a day off, and that's considered normal."
36, "But I wonder, why is that?"
37, "When you catch a cold or the flu and can't go to work,"
38, "it's not really your fault, right?"
39, "So why do you have to use your own paid leave"
40, "to take a day off?"
41, "How is it in your country?"
42, "How do you take time off when you catch the flu or a cold?"
43, "In Japan, there is no such thing as sick leave"
44, "because it's not mandated by law."
45, "Therefore, you have to take time off according to your company's rules,"
46, "but it means you have to use your paid leave."
47, "That's how it is."
48, "But since you only get about 16 to 20 days of paid leave a year,"
49, "what if you want to travel"
50, "and you end up with only 4 days of paid leave left in a year?"
51, "But when you get influenza, and the doctor tells you"
52, "\"Take 5 days off work,\""
53, "then you won't have enough paid leave, right?"
54, "What happens is you use up all your remaining paid leave,"
55, "and on the last day, you take an unpaid leave, meaning you miss work without getting paid."
56, "However, taking unpaid leave can affect your bonus"
57, "and you might even get in trouble with the company."
58, "Unpaid leave is really seen as a bad thing."
59, "You know, I just can't understand this."
60, "Why? I feel like."
61, "I wonder how it is in your countries?"
62, "Perhaps, in the old days in Japan, if you caught a cold or had influenza,"
63, "it was considered that the person wasn't"
64, "properly managing their own health,"
65, "so they should use their paid leave to take a break."
66, "I think that's the reasoning behind it."
67, "What do you all think? Personally, I really wish this would change."
68, "In Japanese companies, it's also difficult to"
69, "take paid leave for going on a trip."
70, "When I was working in a hotel, foreign customers would come in and..."
71, "They all stay in Japan for two or three weeks, you know."
72, "But it's really rare to see Japanese people take two consecutive weeks off."
73, "I've never heard of anyone taking one or two weeks off from work in a row."
74, "Of course, it's not legally prohibited or anything,"
75, "but everyone feels guilty towards their company, so they don't take such long vacations."
76, "The longest holidays are during Obon and New Year's."
77, "During these times, most companies are closed,"
78, "so taking a trip during that week is really the norm."
79, "That's why I still think it's a difficult environment to work in."
80, "If you don't use your paid leave, it expires after two years, you know."
81, "But it seems really difficult to use."
82, "I think it's a system that's not considerate at all to workers."
83, "I'm a bit frustrated now, so my way of speaking has gotten a bit weird, but"
84, "another thing I dislike is when I'm looking for job listings on Indeed or similar sites."
85, "Generally, you know,"
86, "there will be a job title like \"Sales Staff,\""
87, "and below that, the job description is written."
88, "The salary is often included in that description as well."
89, "For example, stating a monthly salary of 300,000 yen. I often see those job listings,"
90, "and I think, \"350,000 yen a month? That's great!\""
91, "But when I read the description carefully, it says, \"This 350,000 yen includes"
92, "40 hours of overtime pay for the month.\""
93, "That's what it says."
94, "Oh, so overtime is expected, huh?"
95, "It's already predetermined that you'll work 45 hours of overtime a month,"
96, "and that pay is already included upfront."
97, "So, the actual monthly salary is much lower."
98, "The 350,000 yen includes the overtime pay."
99, "That's how they phrase it."
100, "Why do they do that? It's puzzling, isn't it?"
101, "Why is overtime considered normal?"
102, "Moreover, I really wish they wouldn't combine it with the monthly salary."
103, "That's how I strongly feel."
104, "How is it in your country?"
105, "And there's one more thing."
106, "Something I really dislike about work customs is that, when applying for a job,"
107, "you have to submit your resume."
108, "A \"resume\" is a paper where you write about your education,"
109, "experience, and skills."
110, "Depending on the industry, that resume is often handwritten."
111, "It means you have to write it by hand with a pen on paper."
112, "I'm quite surprised by this."
113, "About 6 or 7 years ago, when I graduated from university and was job hunting,"
114, "that was still the case, as Japanese resumes"
115, "for some companies or industries"
116, "are considered better if written neatly by hand."
117, "As for the reason why they're handwritten,"
118, "the first point is that neat handwriting reflects a person's character."
119, "Handwriting is thought to represent a person's character,"
120, "which is why some companies believe that."
121, "People with neat handwriting are considered to have a neat character."
122, "Another reason is that when you write the resume by hand,"
123, "you really take your time and write it carefully."
124, "You write it with a pen, but if you make even one mistake, you have to start over."
125, "You can't use correction tape or whiteout."
126, "You have to rewrite it from scratch."
127, "Taking the time to write it carefully means"
128, "that you spent time creating the resume for that company."
129, "It can show the company that you are very serious and earnest,"
130, "and that's something you can appeal to the company."
131, "You can communicate that, right?"
132, "Because of these two reasons, handwritten resumes are still quite common."
133, "I hired 5 or 6 staff members for cleaning at the hotel,"
134, "and all of them submitted handwritten resumes."
135, "Not a single person created and printed their resume on a computer."
136, "Also, I've heard that jobs in caregiving"
137, "require handwritten resumes."
138, "Of course, for recent startups or IT companies,"
139, "I think many companies are totally fine with computer-generated resumes."
140, "But still, handwritten resumes are very common."
141, "What do you all think about this?"
142, "How is it different from the resumes in your country?"
143, "Do you also sometimes write by hand?"
144, "Also, a feature of Japanese resumes is that the format is fixed."
145, "You use the exact same format regardless of which job you are applying for."
146, "Nowadays, you can buy resumes even at DAISO,"
147, "and you place a photo in the top right corner, then write your name and date of birth,"
148, "below that, you first write about your education."
149, "Starting with middle school, high school, university, and then skills and qualifications"
150, "underneath that."
151, "Recently, I've actually started job hunting as well,"
152, "and I'm writing my own resume, but I'm surprised at how different global company resumes are"
153, "compared to Japanese resumes."
154, "In Japan, you have to include your date of birth and photo,"
155, "and Japanese companies really care about educational background."
156, "However, many global companies focus more on"
157, "one's achievements and what they've accomplished,"
158, "and they really look at that, which is"
159, "a significant difference between them and Japan, I think."
160, "That's how it is with Japanese work culture."
161, "The old ways still remain, don't they?"
162, "I often find myself thinking, \"Why not change them quickly?\""
163, "I'm that type of person."
164, "Up to this point, I've talked about what I dislike"
165, "and can't understand about Japanese work culture and wish would change quickly."
166, "From here, I'd like to talk a little about \"the school system.\""
167, "The Japanese school system as well"
168, "probably hasn't changed much in decades, hasn't it?"
169, "So, there are quite a few things that don't really match with today's society."
170, "Of course, some things are changing little by little, though."
171, "My high school was referred to as \"a military camp.\""
172, "You know, like the army that fights in wars, that kind of military."
173, "So, even during school sports events, everyone would march in the field."
174, "Everyone would synchronize their arm and leg movements."
175, "We would walk around the field saying, \"One-two, one-two.\""
176, "Also, once a month, there was a morning assembly, I think?"
177, "All the students would gather in the gym or schoolyard"
178, "to listen to the principal's speech."
179, "During that time, of course, everyone would line up"
180, "and even the order in which we lined up was all predetermined."
181, "For example, class 1A would line up here."
182, "The order for lining up was according to the roll call list."
183, "The \"roll call order\" is by the Japanese syllabary order."
184, "People with a surname that starts close to \"A\" would be in the front."
185, "It follows the order of あいうえお, かきくけこ, さしすせそ, and so on."
186, "It's where people line up according to their surname."
187, "You would line up quickly according to the roll call order."
188, "Then, the teacher would stand in front and call out \"serial numbers.\""
189, "\"Serial numbers\" mean that students in roll call order"
190, "would say their number one by one."
191, "The person at the very front naturally starts with \"1.\""
192, "After saying \"1,\" they need to look at the next person."
193, "The next person says \"2.\""
194, "After saying \"2,\" they look at the person next to them."
195, "Then the next person says \"3\" and looks at the next one, and so on."
196, "Students would say 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, one by one."
197, "What's interesting is that, as I just said \"nana (7),\""
198, "sometimes a student would say \"shichi\" instead of \"nana.\""
199, "Maybe in Kansai, \"shichi\" is more common for \"7.\""
200, "Then the teacher would get really angry."
201, "The teacher would say, \"It's 'nana,' not 'shichi'! Do it over!\""
202, "And so, they would start over again."
203, "We did that kind of thing a lot."
204, "It makes you wonder why, but that's how it was."
205, "That's why it was called military-like, and there are many schools like that."
206, "It's strange, though."
207, "Perhaps education hasn't changed much in the past several decades."
208, "What I disliked was, besides that, club activities."
209, "When you enter the school, it's almost like it's mandatory to join a club activity within the school."
210, "\"Mandatory\" means it's something you must do."
211, "Of course, it's not officially mandatory, but..."
212, "About 80% of students join a club activity."
213, "Japanese clubs can be quite demanding."
214, "I was in volleyball club."
215, "We would practice from 4 PM, right after school, until about 6 or 7 PM from Monday to Friday."
216, "We also practiced on Saturdays."
