1, "Everyone, hello! This is Rayla from Bite Size Japanese☺️"
2, "How are you?"
3, "This podcast is like talking with friends"
4, "It's a podcast where you can learn natural Japanese"
5, "Today's topic is \"stereotype\""
6, "\"The stereotypes that Japanese people have about foreigners\""
7, "And maybe also \"the stereotypes that foreigners and people from overseas have about Japan and Japanese people\""
8, "I'd like to talk about that"
9, "What stereotypes do you have about Japanese people?"
10, "\"Stereotype\" refers to a group of people being..."
11, "It means forming opinions based on assumptions like \"Everyone is like this\" or \"Everyone is the same.\""
12, "What stereotypes do you have about Japanese people?"
13, "For example, a common one is \"Japanese people are all polite,\" right?"
14, "Indeed, that's often quite accurate, isn't it?"
15, "What about others? Like \"Everyone eats sushi\"?"
16, "But if you've lived in Japan or have Japanese friends, you'd probably understand that..."
17, "For Japanese people too, sushi is quite a special meal."
18, "For me, I eat sushi maybe a few times a year or not at all."
19, "I don't eat it that often."
20, "I hardly ever eat it."
21, "Also, in terms of old stereotypes, actually, I, recently...    (Note: The original sentence appears to be cut off. The phrase \"ちょっと前に\" (recently) suggests the speaker may have been about to mention an experience or action related to stereotypes, but the sentence is incomplete.)"
22, "Watched a very old Disney animation.   (Or: I watched a very old Disney animation.)"
23, "Among them, there was a Japanese person who had narrow eyes."
24, "The front teeth are sticking out, and it's really a bad role, a bad guy."
25, "That was an animation from around the time before World War II."
26, "At that time, Japan did quite a few bad things during the war, so..."
27, "It's understandable that such an image exists, isn't it?"
28, "Also, I recently watched the movie *Gremlins 2*."
29, "The Japanese character who appeared in it was always carrying a camera."
30, "He was taking pictures of everything like a fool."
31, "There was a character like that in the movie."
32, "Well, that's also a stereotype, isn't it?"
33, "So, I find stereotypes pretty interesting."
34, "Of course, believing all of them isn't good."
35, "Of course, I know that each person is completely different."
36, "By looking at this \"stereotype,\""
37, "I think it's quite interesting."
38, "For example, \"This stereotype is correct, but this one isn't,\""
39, "\"In such cases, stereotypes are really accurate, aren't they?\""
40, "Such as, I make such comments."
41, "I think it's quite interesting, don't you?"
42, "So, this time, first of all, I'll talk about \"the stereotypes Japanese people hold towards foreigners, everyone\"…"
43, "…about the stereotypes they hold towards foreigners, everyone."
44, "First, I'd like to introduce a few of them."
45, "First, well, since there aren't that many foreigners in Japan,"
46, "the stereotypes Japanese people hold towards those foreigners,"
47, "or the images they have of them, mostly come from movies."
48, "In Japan, American movies are quite popular."
49, "Even at the cinema, probably around 60% of the movies are Japanese,"
50, "and the rest are American movies, I suppose."
51, "Because Hollywood and American movies are so popular,"
52, "the image of foreigners is mostly about Americans, isn't it?"
53, "That's unavoidable, but therefore, a little..."
54, "If you live in Japan and experience life there,"
55, "you might start thinking, \"Hmm, something about this feels off,\""
56, "or something like that."
57, "Honestly, I think back to when I was in elementary school,"
58, "I didn't know anything about other countries at all,"
59, "because my friends and family were all Japanese,"
60, "and there were really no people from other countries or cultures around me."
61, "So, the country names I probably knew in elementary school were..."
62, "probably just the US, I think."
63, "Just the US and UK, that kind of thing, right?"
64, "In Japan, since 97% are Japanese and everyone speaks the same language, so..."
65, "I think it's just something you can't help but feel a bit unavoidable, I guess."
66, "So, now I'd like to first tell you about Japanese people, especially the young generation..."
67, "I will introduce the stereotypes that foreigners hold about Japanese people, especially the young."
68, "This time, I took notes on this stereotype, but..."
69, "There was a YouTube video that was helpful when I took notes."
70, "This video is called \"Stereotype Foreigner\", but..."
71, "[Flagged][Model] これはね、今日本に住んでいるイギリス人のコメディアンが -> 「ご覧のように」っていうのは、"
72, "[Flagged][Model] 多分その人が、友達と一緒に作った歌なんですよね -> 「見てわかるように」っていう意味なんですね。"
73, "[Flagged][Model] なんか、あのね、この歌けっこう面白くて -> そのビデオの中で、このコメディアンは"
74, "[Flagged][Model] 歌ってるのは白人の若い男性なんですけど、歌詞の中で -> 日本人が外国人に対して持っているステレオタイプを"
75, "[Flagged][Model] 「外人みんなそれぞれ」 -> 軽いジョークとユーモアを使って紹介していくんですが、"
76, "[Flagged][Model] 「でも、俺がご覧（らん）のようにステレオタイプ外人です」って -> けっこうリアルに描いてあるので"
77, "[Flagged][Model] 言って、外国人に対する、日本人が持っているステレオタイプを -> 視聴者としては考えさせられる内容になっています。"
78, "[Flagged][Model] いろいろ紹介していくんだけど、けっこう面白いんですね -> 例えば、「日本人はみんなニコニコしている」"
79, "[Flagged][Model] 「ご覧のように」っていうのは -> みたいなステレオタイプを"
80, "[Flagged][Model] 「見てわかるように」っていう意味なんですね -> ちょっと皮肉ったような感じで紹介しているんです。"
81, "It means \"to explain in a way that's easy for you to understand.\""
82, "So, let's introduce \"stereotypes\" right away."
83, "First one is \"foreigners are tall.\""
84, "This also definitely comes from American movies."
85, "Definitely, people from Western Europe, for example,"
86, "do give the impression of being tall."
87, "However, when I went to Australia, I realized that"
88, "it's not always true, right?"
89, "So, this really depends on the individual."
90, "It also depends on culture, but there's a lot of variation from person to person."
91, "Definitely, there's an image of Dutch people being really tall."
92, "If you know someone from the Netherlands, please let me know."
93, "Does this stereotype hold true?"
94, "The second one is \"foreigners can't eat natto.\""
95, "Can you eat natto? How about you?"
96, "Natto is a food made by fermenting soybeans."
97, "Fermentation means leaving it for a long time so that bacteria multiply."
98, "It becomes slimy, and the smell is quite strong."
99, "Japanese people are very used to natto."
100, "A lot of people can eat it."
101, "So, when talking to foreigners, I often want to ask, “Can you eat natto?”"
102, "I really want to ask, you know."
103, "Many people think, “Foreigners are definitely not used to natto, they can’t eat it.”"
104, "I think a lot of people hold that belief."
105, "Please tell us whether you can eat it, everyone."
106, "The third stereotype is, “Foreigners speak English.”"
107, "Well, this one is also influenced by movies, I guess."
108, "Plus, English has become the world’s standard language these days."
109, "Definitely, there are quite a few people in countries that aren’t English-speaking who can speak English."
110, "I also think that’s true. When I worked at a hotel before, I noticed it a lot."
111, "Inbound customers can speak English quite well, right?"
112, "Really, Hong Kong people are also pretty good at English, aren't they?"
113, "Also, Singapore and Hong Kong are countries where people speak English, so that's why."
114, "It's hard to put into words, but I really did think that way too."
115, "Compared to Japanese people, inbound tourists coming to Japan..."
116, "I think that many people from various countries can speak English, don't you think?"
117, "I thought that."
118, "Is this stereotype correct?"
119, "How do you think? Please share your opinions if you're okay with it."
120, "Next, the fourth stereotype: \"Foreigners have poor manners.\""
121, "This is a pretty negative stereotype, but..."
122, "So, why does such a stereotype exist?"
123, "Probably kind of vaguely, but foreigners are seen as having more laid-back personalities, or something."
124, "Like prioritizing their own thoughts and opinions over following rules."
125, "I think this image is just kind of embedded in the minds of Japanese people, don't you think?"
126, "Of course, this is a comparison to Japanese people, right?"
127, "Then there's also the fact that people who don't speak Japanese may not understand manners or rules."
128, "Because they can't read the rules written in Japanese."
129, "For these reasons, some people might not follow the rules."
130, "If such people exist, or if tourists like that come to Japan..."
131, "Just seeing such things once makes people think foreigners don't follow etiquette, right?"
132, "I think this might be the case, but..."
133, "Of course, not everyone is bad at manners."
134, "There's no way that's true, but indeed, such stereotypes do exist."
135, "If asked whether such stereotypes exist, I think they do."
136, "Next, it's not a stereotype, but..."
137, "Things that people don't want to be told when living in Japan."
138, "\"You're really good at using chopsticks\" and \"You're really good at Japanese.\""
139, "This, my husband also says, even after living in Japan for more than four years."
140, "He's still told that at work, according to him."
141, "He says he really hates that."
142, "Regarding \"You're really good at using chopsticks,\" many Japanese people think that..."
143, "Using chopsticks is something associated with Japan, China, and Korea."
144, "So, quite a few people assume that foreigners—meaning people from countries other than Japan, Korea, or China—don’t use chopsticks."
145, "They think people from other countries probably haven’t used chopsticks before."
146, "I think many people hold this belief, but..."
147, "For example, Jack has been eating Chinese food since he was in Australia, and he used chopsticks at home too."
148, "So, he was already using chopsticks regularly before coming to Japan."
149, "That’s why, even after living in Japan, he still gets told “You’re really good at using chopsticks.”"
150, "Why is that?"
151, "You're saying you don’t understand, right?"
152, "What about you all? Are you good at using chopsticks?"
153, "Recently, I have this weird thing, but..."
154, "I’ve gotten hooked on eating with my hands."
155, "When I tried making something that’s a bit like Indian cuisine."
156, "I try eating with my hands, you know?"
157, "I think it tastes better that way, so I try eating with my hands."
